author,updated_at,like_count,text,public
@janicejackson5042,2024-02-29T22:51:14Z,0,"Post, if anybody knows what u are going through it is me. Haven't drank in almost 34 years. Still remember how I felt then too. It's hard. I love how u put your soul and feelings in your music! I love all your music! Keep on singing. My prayers are with u and your loved ones",True
@socorrosolimar3590,2024-02-29T22:48:19Z,0,Só não gostei porque ele pega no jubileu,True
@socorrosolimar3590,2024-02-29T22:42:50Z,0,The voice is beautifull,True
@socorrosolimar3590,2024-02-29T22:41:37Z,0,Nunca tinha visto😊,True
@tiffanybruce4933,2024-02-29T05:17:06Z,0,Amazing performance made the tears come down much luv,True
@LeesaHarringtonSquyres,2024-02-28T00:48:13Z,0,I do love this man....Texas boy to the bone. Love this album AND 24 carat toothache...I need more!,True
@charitymaedag-on2101,2024-02-27T06:01:10Z,0,I REALLY LOVED THIS MAN...,True
@jynkot5542,2024-02-27T04:09:32Z,0,we from the same world,True
@zeitgeist909,2024-02-26T21:36:03Z,0,Post's Liam Gallagher moment...,True
@realjohnnycrew,2024-02-26T20:30:04Z,0,Different class from others top drawer Post...👏,True
@Sharakomusic,2024-02-26T03:01:28Z,0,It feels like hes covering a taylor swift song... 😂,True
@vinetadawn1,2024-02-26T00:54:03Z,0,I must say when he puts his head up against that wall and says hey. You really feel it❤,True
@DIDUHEARTHUNDER,2024-02-25T07:06:27Z,0,im gonna tell my kids this is elvis and im not joking my grandfather loves elvis,True
@lokivoord141,2024-02-23T23:33:36Z,1,I feel this one. I'm you but not with the ability to sing my life in words. Thanks for letting my feelings be known in a happier way. I would totally cover the tab for you.,True
@briansherman3961,2024-02-23T20:43:53Z,0,"Dude, you look so much like your dad in this video.",True
@lugavernet3237,2024-02-23T20:42:07Z,0,increible,True
@ricardoalfonsojaureguiarre314,2024-02-23T19:26:48Z,0,❤,True
@mesrineqcc.2086,2024-02-23T13:30:31Z,0,"fuck post malone, just to see if he answer back .",True
@mesrineqcc.2086,2024-02-23T13:30:13Z,0,https://www.youtube.com/watch?v=WMJRgXsrCcA&ab_channel=SmokeMe%27sRadio,True
@Noah-ls3uw,2024-02-23T07:52:23Z,0,A throw that bottle at us 1 more time.   Throw you're love this time at us. At the sky 😢   ure dying like juice everything a girl comes I use type shit,True
@BrandyTexas214,2024-02-22T21:43:07Z,0,North Texas loves him ❤️,True
@rachelleschaub915,2024-02-22T18:30:56Z,0,Omg how sad my ears hurt too,True
@kaylempeasey6312,2024-02-22T17:51:13Z,1,"I love his music so much , my dream is to go see him live but I can't afford to go 😢",True
@tesstickles1280,2024-02-22T05:30:42Z,0,the swimming pool song was kind of whack Post!,True
@Daniel-gi2me,2024-02-21T17:38:18Z,0,Most talented artist ever (own opinion),True
@jeanalsamman4698,2024-02-21T16:15:37Z,0,"Excellence is not a skill, it's an attitude!  Your sacrifices don't go unnoticed.  Eleanor Roosevelt: ""The future belongs to those who believe in the beauty of their dreams."" an investment in knowledge always pays the best interest",True
@amazexvgaming,2024-02-21T14:44:47Z,1,This man feels music,True
@user-yn1pz1qq1j,2024-02-21T05:59:50Z,1,"Holy Shit this guy just keeps pulling it out and pulling it out and the energy it takes to sing like this is simple remarkable.  He just drains himself with the emotion he pulls out and doing this in front of all these people on set, he ain't just singing in the damn shower,  What a talent !",True
